_time,_right_vel
10.0,1.625679
20.0,3.340343
30.0,3.686796
40.0,4.84186
50.0,5.518537
60.0,6.603592
70.0,7.313343
80.0,7.288909
90.0,7.285866
100.0,7.397254
110.0,7.279788
120.0,8.174419
130.0,8.177824
140.0,8.41934
150.0,9.063821
160.0,8.140528
170.0,9.043157
180.0,8.998229
190.0,9.018857
200.0,8.996543
210.0,8.981727
220.0,8.941236
230.0,8.968804
240.0,8.933913
250.0,8.648027
260.0,9.226736
271.0,8.616976
280.0,8.230743
291.0,8.615429
300.0,9.185944
310.0,8.863138
340.0,9.095942
351.0,8.528172
360.0,9.124049
380.0,9.063821
390.0,8.745887
400.0,9.069263
410.0,8.733633
420.0,9.018857
430.0,8.726646
440.0,9.048366
450.0,8.717928
480.0,9.023417
490.0,8.695343
500.0,8.080228
511.0,8.691878
530.0,9.00686
540.0,8.961436
550.0,9.543956
560.0,9.980153
570.0,9.53637
581.0,8.941236
620.0,8.930256
642.0,8.534617
645.0,8.397927
650.0,8.531373
660.0,8.649759
670.0,8.34997
680.0,8.623168
690.0,8.316372
720.0,8.225787
740.0,9.510756
750.0,9.113039
760.0,9.101633
770.0,9.099735
780.0,8.44378
790.0,9.084579
800.0,9.071359
820.0,8.409199
830.0,9.046906
870.0,9.000254
900.0,8.326953
910.0,8.930256
920.0,8.261913
930.0,8.915658
940.0,9.197561
950.0,8.899293
960.0,8.222988
970.0,8.875759
980.0,9.151265
991.0,9.363355
1000.0,9.151691
1010.0,8.80057
1020.0,9.084579
1030.0,8.781089
1040.0,8.100855
1060.0,8.123688
1070.0,8.735381
1080.0,9.056713
1090.0,8.728392
1100.0,8.105244
1110.0,8.71967
1121.0,8.03004
1131.0,8.709228
1141.0,8.990981
1151.0,8.700544
1161.0,9.0172
1170.0,8.69361
1180.0,8.078566
1190.0,8.684958
1200.0,8.996543
1210.0,9.545854
1221.0,8.955917
1231.0,8.667706
1241.0,7.982297
1260.0,8.943069
1270.0,8.65567
1281.0,8.95551
1290.0,8.64538
1305.0,8.534617
1310.0,8.749394
1320.0,8.666941
1330.0,8.126883
1350.0,9.250208
1380.0,8.555535
1390.0,9.126381
1400.0,9.134024
1410.0,8.805092
1420.0,9.059372
1430.0,9.103533
1440.0,8.784142
1450.0,8.780929
1460.0,9.393591
1490.0,9.951597
1510.0,8.135468
1520.0,8.118649
1540.0,9.283667
1570.0,8.937572
1580.0,8.901438
1590.0,8.922951
1630.0,8.888415
1641.0,8.85774
1650.0,7.971967
1680.0,9.134661
1690.0,8.786394
1700.0,8.162525
1710.0,8.774026
1720.0,8.059706
1760.0,8.044846
1770.0,8.723157
1780.0,9.00211
1810.0,8.704016
1830.0,8.697076
1841.0,9.008926
1871.0,8.678049
1890.0,8.671151
1900.0,8.055366
1910.0,8.662543
1921.0,8.967779
1930.0,8.971877
1950.0,8.647093
1970.0,8.534617
1970.0,8.534617
1980.0,8.201735
1990.0,8.357078
2000.0,8.120831
2030.0,8.089216
2040.0,8.274317
2050.0,8.829389
2060.0,8.262305
2100.0,8.232685
2110.0,8.782536
2120.0,9.080797
2130.0,8.7713
2140.0,8.200193
2180.0,8.172547
2190.0,8.723474
2200.0,8.322982
2210.0,8.085219
2260.0,8.295291
2270.0,8.904741
2280.0,8.230743
2290.0,8.888415
2310.0,7.970349
2340.0,8.179527
2350.0,8.791704
2361.0,8.772262
2380.0,9.030056
2390.0,8.744135
2400.0,9.060892
2410.0,8.730138
2420.0,9.01513
2440.0,9.042116
2450.0,8.712706
2460.0,8.994688
2470.0,8.70749
2481.0,9.021343
2491.0,8.69881
2501.0,8.978031
